"NumPredictors","mu","var"
1,-0.000142830350592754,3.52953937820088e-07
6,-0.147355355297021,0.0262260739514717
11,-0.419158668819111,0.135751501405133
16,-0.929791610582575,0.689863001409896
21,-2.21436751854212,1.8374931944677
26,-3.06681077346633,3.07123944816944
31,-4.48826609936251,6.79987076547128
36,-5.00364854718951,8.64555624908801
41,-8.65250064833074,13.5206194441674
46,-14.0321396286938,41.6676436751422
51,-16.0995609467149,50.5944010872153
56,-14.9418206035401,35.3265099518691
61,-17.0389116555892,41.4600115710896
66,-18.3510848297847,60.8976234334032
71,-24.5261242849446,68.5012675714093
76,-28.1921854296592,100.502252058374
81,-36.431690480315,130.48525100456
86,-40.0413701244415,160.04496239101
91,-40.5589070030068,207.009236333123
96,-50.015411587869,257.68998460789
