"NumPredictors","mu","var"
1,-0.0156002231140002,0.00102803838996929
6,-0.225108174604418,0.069994734016833
11,-0.681249975979632,0.217509907632702
16,-1.16859342784107,0.798570141817122
21,-2.22559338304713,2.5066526927814
26,-3.36323104342767,4.28190110408174
31,-5.26083226281984,8.20162820258085
36,-6.43664248499487,9.67557290632239
41,-7.56679713166975,10.8459091779196
46,-9.26098279298237,18.3538905547968
51,-9.91282767813304,17.3424510777588
56,-18.8829572238346,54.4530664389288
61,-26.0572999413504,111.828359530693
66,-24.57795614603,107.76520630385
71,-29.7530614390643,161.758994334844
76,-24.9083714935013,94.3633024480728
81,-40.4539956978794,170.745596713801
86,-43.1367843817965,205.51996203348
91,-49.9727277622024,287.203587908966
96,-55.3408117465281,299.707428633969
