"title","noise_denom","n","true_beta_range","noise_coef","sd","alpha","location"
"diff_hist_beta2078.png","1","100","-20,20","0.05","10","0.5","mean"
"diff_hist_beta2079.png","1","100","-20,20","0.05","10","1","median"
"diff_hist_beta2080.png","1","100","-20,20","0.05","10","1","mean"
"diff_hist_beta2081.png","1","100","-20,20","0.05","11","0.01","median"
"diff_hist_beta2082.png","1","100","-20,20","0.05","11","0.01","mean"
"diff_hist_beta2083.png","1","100","-20,20","0.05","11","0.1","median"
"diff_hist_beta2084.png","1","100","-20,20","0.05","11","0.1","mean"
"diff_hist_beta2085.png","1","100","-20,20","0.05","11","0.5","median"
"diff_hist_beta2086.png","1","100","-20,20","0.05","11","0.5","mean"
"diff_hist_beta2087.png","1","100","-20,20","0.05","11","1","median"
"diff_hist_beta2088.png","1","100","-20,20","0.05","11","1","mean"
"diff_hist_beta2089.png","1","100","-20,20","0.05","12","0.01","median"
"diff_hist_beta2090.png","1","100","-20,20","0.05","12","0.01","mean"
"diff_hist_beta2091.png","1","100","-20,20","0.05","12","0.1","median"
"diff_hist_beta2092.png","1","100","-20,20","0.05","12","0.1","mean"
"diff_hist_beta2093.png","1","100","-20,20","0.05","12","0.5","median"
"diff_hist_beta2094.png","1","100","-20,20","0.05","12","0.5","mean"
"diff_hist_beta2095.png","1","100","-20,20","0.05","12","1","median"
"diff_hist_beta2096.png","1","100","-20,20","0.05","12","1","mean"
"diff_hist_beta2097.png","1","100","-20,20","0.05","13","0.01","median"
"diff_hist_beta2098.png","1","100","-20,20","0.05","13","0.01","mean"
"diff_hist_beta2099.png","1","100","-20,20","0.05","13","0.1","median"
"diff_hist_beta20100.png","1","100","-20,20","0.05","13","0.1","mean"
"diff_hist_beta20101.png","1","100","-20,20","0.05","13","0.5","median"
"diff_hist_beta20102.png","1","100","-20,20","0.05","13","0.5","mean"
"diff_hist_beta20103.png","1","100","-20,20","0.05","13","1","median"
"diff_hist_beta20104.png","1","100","-20,20","0.05","13","1","mean"
"diff_hist_beta20105.png","1","100","-20,20","0.05","14","0.01","median"
"diff_hist_beta20106.png","1","100","-20,20","0.05","14","0.01","mean"
"diff_hist_beta20107.png","1","100","-20,20","0.05","14","0.1","median"
"diff_hist_beta20108.png","1","100","-20,20","0.05","14","0.1","mean"
"diff_hist_beta20109.png","1","100","-20,20","0.05","14","0.5","median"
"diff_hist_beta20110.png","1","100","-20,20","0.05","14","0.5","mean"
"diff_hist_beta20111.png","1","100","-20,20","0.05","14","1","median"
"diff_hist_beta20112.png","1","100","-20,20","0.05","14","1","mean"
"diff_hist_beta20113.png","1","100","-20,20","0.05","15","0.01","median"
"diff_hist_beta20114.png","1","100","-20,20","0.05","15","0.01","mean"
"diff_hist_beta20115.png","1","100","-20,20","0.05","15","0.1","median"
"diff_hist_beta20116.png","1","100","-20,20","0.05","15","0.1","mean"
"diff_hist_beta20117.png","1","100","-20,20","0.05","15","0.5","median"
"diff_hist_beta20118.png","1","100","-20,20","0.05","15","0.5","mean"
"diff_hist_beta20119.png","1","100","-20,20","0.05","15","1","median"
"diff_hist_beta20120.png","1","100","-20,20","0.05","15","1","mean"
"diff_hist_beta20121.png","1","100","-20,20","0.05","16","0.01","median"
"diff_hist_beta20122.png","1","100","-20,20","0.05","16","0.01","mean"
"diff_hist_beta20123.png","1","100","-20,20","0.05","16","0.1","median"
"diff_hist_beta20124.png","1","100","-20,20","0.05","16","0.1","mean"
"diff_hist_beta20125.png","1","100","-20,20","0.05","16","0.5","median"
"diff_hist_beta20126.png","1","100","-20,20","0.05","16","0.5","mean"
"diff_hist_beta20127.png","1","100","-20,20","0.05","16","1","median"
"diff_hist_beta20128.png","1","100","-20,20","0.05","16","1","mean"
"diff_hist_beta20129.png","1","100","-20,20","0.05","17","0.01","median"
"diff_hist_beta20130.png","1","100","-20,20","0.05","17","0.01","mean"
"diff_hist_beta20131.png","1","100","-20,20","0.05","17","0.1","median"
"diff_hist_beta20132.png","1","100","-20,20","0.05","17","0.1","mean"
"diff_hist_beta20133.png","1","100","-20,20","0.05","17","0.5","median"
"diff_hist_beta20134.png","1","100","-20,20","0.05","17","0.5","mean"
"diff_hist_beta20135.png","1","100","-20,20","0.05","17","1","median"
"diff_hist_beta20136.png","1","100","-20,20","0.05","17","1","mean"
"diff_hist_beta20137.png","1","100","-20,20","0.05","18","0.01","median"
"diff_hist_beta20138.png","1","100","-20,20","0.05","18","0.01","mean"
"diff_hist_beta20139.png","1","100","-20,20","0.05","18","0.1","median"
"diff_hist_beta20140.png","1","100","-20,20","0.05","18","0.1","mean"
"diff_hist_beta20141.png","1","100","-20,20","0.05","18","0.5","median"
"diff_hist_beta20142.png","1","100","-20,20","0.05","18","0.5","mean"
"diff_hist_beta20143.png","1","100","-20,20","0.05","18","1","median"
"diff_hist_beta20144.png","1","100","-20,20","0.05","18","1","mean"
"diff_hist_beta20145.png","1","100","-20,20","0.05","19","0.01","median"
"diff_hist_beta20146.png","1","100","-20,20","0.05","19","0.01","mean"
"diff_hist_beta20147.png","1","100","-20,20","0.05","19","0.1","median"
"diff_hist_beta20148.png","1","100","-20,20","0.05","19","0.1","mean"
"diff_hist_beta20149.png","1","100","-20,20","0.05","19","0.5","median"
"diff_hist_beta20150.png","1","100","-20,20","0.05","19","0.5","mean"
"diff_hist_beta20151.png","1","100","-20,20","0.05","19","1","median"
"diff_hist_beta20152.png","1","100","-20,20","0.05","19","1","mean"
"diff_hist_beta20153.png","1","100","-20,20","0.05","20","0.01","median"
"diff_hist_beta20154.png","1","100","-20,20","0.05","20","0.01","mean"
"diff_hist_beta20155.png","1","100","-20,20","0.05","20","0.1","median"
"diff_hist_beta20156.png","1","100","-20,20","0.05","20","0.1","mean"
"diff_hist_beta20157.png","1","100","-20,20","0.05","20","0.5","median"
"diff_hist_beta20158.png","1","100","-20,20","0.05","20","0.5","mean"
"diff_hist_beta20159.png","1","100","-20,20","0.05","20","1","median"
"diff_hist_beta20160.png","1","100","-20,20","0.05","20","1","mean"
"diff_hist_beta20161.png","1","100","-20,20","0.1","1","0.01","median"
"diff_hist_beta20162.png","1","100","-20,20","0.1","1","0.01","mean"
"diff_hist_beta20163.png","1","100","-20,20","0.1","1","0.1","median"
"diff_hist_beta20164.png","1","100","-20,20","0.1","1","0.1","mean"
"diff_hist_beta20165.png","1","100","-20,20","0.1","1","0.5","median"
"diff_hist_beta20166.png","1","100","-20,20","0.1","1","0.5","mean"
"diff_hist_beta20167.png","1","100","-20,20","0.1","1","1","median"
"diff_hist_beta20168.png","1","100","-20,20","0.1","1","1","mean"
"diff_hist_beta20169.png","1","100","-20,20","0.1","2","0.01","median"
"diff_hist_beta20170.png","1","100","-20,20","0.1","2","0.01","mean"
"diff_hist_beta20171.png","1","100","-20,20","0.1","2","0.1","median"
"diff_hist_beta20172.png","1","100","-20,20","0.1","2","0.1","mean"
"diff_hist_beta20173.png","1","100","-20,20","0.1","2","0.5","median"
"diff_hist_beta20174.png","1","100","-20,20","0.1","2","0.5","mean"
"diff_hist_beta20175.png","1","100","-20,20","0.1","2","1","median"
"diff_hist_beta20176.png","1","100","-20,20","0.1","2","1","mean"
"diff_hist_beta20177.png","1","100","-20,20","0.1","3","0.01","median"
"diff_hist_beta20178.png","1","100","-20,20","0.1","3","0.01","mean"
"diff_hist_beta20179.png","1","100","-20,20","0.1","3","0.1","median"
"diff_hist_beta20180.png","1","100","-20,20","0.1","3","0.1","mean"
"diff_hist_beta20181.png","1","100","-20,20","0.1","3","0.5","median"
"diff_hist_beta20182.png","1","100","-20,20","0.1","3","0.5","mean"
"diff_hist_beta20183.png","1","100","-20,20","0.1","3","1","median"
