"SampleSize","mu","var"
10,-1.47053406842635e+27,1.06258312646949e+57
20,-5.17741263176181,12.7024284224955
30,-1.34635968768789,1.89888118274711
40,-1.69151476409039,2.32230314986593
50,-0.885284790075564,1.26175438755186
60,-1.33136775090745,2.13078510715462
70,-0.860377478164279,0.690575145277252
80,-0.552076519263875,0.464455475135374
90,-0.3906581858877,0.672539703155196
100,-0.602070241804121,0.293023235598333
110,-0.430422183795313,0.399756188481972
120,-0.499608830244027,0.238207508003522
130,-0.27164820265704,0.125543345995427
140,-0.402224568747003,0.20082158459583
150,-0.292780148603161,0.183191363632539
160,-0.344785988515357,0.127994803597092
170,-0.362978383375913,0.215568101882574
180,-0.206824434261579,0.0564543453949091
190,-0.192953188205671,0.12723895048138
200,-0.256959712289882,0.080327356073633
210,-0.266468653508302,0.284724579127916
220,-0.215989505726224,0.132773990869955
230,-0.173766029745055,0.0759502114002013
240,-0.160533115589867,0.201940772924286
250,-0.158639047051839,0.0429309933732018
260,-0.169753019406043,0.109663243476337
270,-0.19735909588722,0.0867697381728085
280,-0.124974947542318,0.0291440066677562
290,-0.138252091383154,0.0812312460972141
300,-0.149408435013416,0.0310987741662909
310,-0.143212211765009,0.0258213861259994
320,-0.124070462853947,0.0214765687118784
330,-0.111789458842187,0.035073688578178
340,-0.140373182633082,0.0627435545516714
350,-0.142402212054933,0.110360904060037
360,-0.128376871392334,0.0397955731061526
370,-0.0992451385380228,0.0102408582104487
380,-0.124532459665766,0.0401051178654561
390,-0.0931311975573235,0.0677000526185151
400,-0.129213865256163,0.0960294888698137
410,-0.110871046338641,0.0305915346256162
420,-0.12604958102747,0.0441556531464276
430,-0.0891961632923014,0.0155829975373606
440,-0.0911826855020442,0.0347693216725012
450,-0.0928374068136952,0.0331314818221165
460,-0.0971403508561704,0.0183903486067608
470,-0.087336435220059,0.0344054332194747
480,-0.0833042224859512,0.015032778109465
490,-0.103077639487022,0.054768416823604
500,-0.102505232674609,0.019747339898151
510,-0.0977906538054378,0.0205153236710032
520,-0.104071926530085,0.0467189179963581
530,-0.082244399299431,0.0175218910407361
540,-0.0776844589599704,0.0454668035963755
550,-0.0864582800782139,0.0470323529531507
560,-0.076652067513436,0.0182052981189805
570,-0.0853716410318186,0.0498327328069695
580,-0.0841252940700867,0.022625716563461
590,-0.0919343466193033,0.0188218177422651
600,-0.0627125502730199,0.0156909606613919
610,-0.0687428521521995,0.0293975657265126
620,-0.0680490538555342,0.0182104236688949
630,-0.0694868626979984,0.0161083557651663
640,-0.0818133077320574,0.0147098950353709
650,-0.0761744086913674,0.018935287148369
660,-0.0791060000087963,0.0192287939110425
670,-0.0743149621049743,0.0310922961241642
680,-0.0438114973537916,0.0342616061261929
690,-0.0634492507410708,0.0171628210350222
700,-0.072422023332756,0.0609535805386284
710,-0.0666359810208314,0.038099075913674
720,-0.0692628426815809,0.0321113736394029
730,-0.0554850928028484,0.0590705282188459
740,-0.0523296886593374,0.0380261973366407
750,-0.0553720410558748,0.0121762124561475
760,-0.0507965826476748,0.0230724982361221
770,-0.0531609277287419,0.0126737110996403
780,-0.0560434374021981,0.0261189996105126
790,-0.0493473978107902,0.0106197648004937
800,-0.0509825451661424,0.0294624133280044
810,-0.0542828821904122,0.00867560824036813
820,-0.0553269309414225,0.0258390837620235
830,-0.0460382008243836,0.0317453500756491
840,-0.0593311119844523,0.00721360103808557
850,-0.0529878163941981,0.00803611787903751
860,-0.0611509815437715,0.032920418508354
870,-0.0548858565514703,0.0203237072070596
880,-0.05252387694859,0.00835691575156937
890,-0.0534700208143578,0.029106209347639
900,-0.047518058416062,0.0165349272629082
910,-0.0553976875273063,0.0200065178018207
920,-0.0396242460465407,0.00789004125746895
930,-0.0348556689505176,0.0179910361453313
940,-0.0472571439879692,0.0238588539866567
950,-0.0587540362618863,0.00980017949017403
960,-0.0465604059773362,0.0142098288408238
970,-0.0403364279863979,0.00780660266419816
980,-0.0530578566963317,0.0107031308968812
990,-0.0484028736764187,0.0233809845649538
1000,-0.0423310275427142,0.013621275818211
