"SampleSize","median","var"
10,-1.62215150180628e+27,1.23036009162053e+57
20,-6.68619262726977,287.099654333763
30,-3.02714307298424,8.99631491543182
40,-1.21042366974581,2.84532538126497
50,-1.62135157174999,3.19989972084092
60,-0.698757667615091,0.820443327278174
70,-0.909649737796008,2.33824461507617
80,-0.663503129358933,0.676877388742143
90,-0.707594240756385,0.438188149196038
100,-0.520862015830965,0.154179795954591
110,-0.373641691700166,0.21907184200413
120,-0.541468004124794,0.780775037720037
130,-0.362435662639103,0.28338664775638
140,-0.64078123265272,0.387941675639714
150,-0.374519108759643,0.722619958556131
160,-0.354545811264342,0.243173229094631
170,-0.236467695294828,0.107216956296121
180,-0.288083335318776,0.0795907294477911
190,-0.342873633438721,0.383461998588817
200,-0.262402453588548,0.189970836663965
210,-0.224259778870985,0.0658047684264466
220,-0.212493537659734,0.311790942771613
230,-0.253477382221503,0.147381118685958
240,-0.212100137453088,0.0381805271363343
250,-0.225953081767127,0.0948001358094984
260,-0.200967237969167,0.0600483971244198
270,-0.213779232422619,0.196301627758084
280,-0.231079111469352,0.147207255591701
290,-0.17412182928005,0.114006231406442
300,-0.155818841822629,0.112926404278696
310,-0.171563928128187,0.095773374347588
320,-0.184349702652558,0.202264784076785
330,-0.159953534525066,0.0776846025072881
340,-0.150635240996102,0.0567515781768104
350,-0.13195778417456,0.0453671276411825
360,-0.143912072959065,0.065516224905657
370,-0.171372239649906,0.110373433990034
380,-0.151695419308769,0.0366124848312714
390,-0.104945058787571,0.0495964846805724
400,-0.131097294325809,0.0666016064963999
410,-0.12256142492222,0.0493679885627515
420,-0.104585945472164,0.0346761007588327
430,-0.124118756778024,0.0435356934296776
440,-0.108105279743221,0.0437306797940094
450,-0.0994463512246879,0.0299463019866485
460,-0.128459227840276,0.12540481794049
470,-0.0940901450970186,0.0203396031307075
480,-0.120168242831481,0.0618396081811396
490,-0.101330064420591,0.0456842624749506
500,-0.0985167727636699,0.0716271699885626
510,-0.101814567955596,0.0421619910067783
520,-0.116636717757038,0.10057219852465
530,-0.113068629436772,0.0408852499163005
540,-0.0909524797064799,0.031030401589069
550,-0.103153485148491,0.0352350687888114
560,-0.113455846753348,0.105118956013397
570,-0.0880292774241535,0.0119931672378253
580,-0.0877019771561713,0.0270126706471418
590,-0.09134753437072,0.032710042144382
600,-0.0775814624259947,0.107630196404722
610,-0.0682936329425303,0.019496911132385
620,-0.0813508499737971,0.018415400685679
630,-0.0867309450753138,0.0448906931924273
640,-0.0922822744922141,0.114668760980562
650,-0.0658505410223148,0.0208550075315428
660,-0.0800083521160309,0.0276749068834123
670,-0.0757953237819472,0.0248493624778348
680,-0.0707384781328282,0.112829331702107
690,-0.0728560011080585,0.0648415036778821
700,-0.0885866244336506,0.0198897621635443
710,-0.080081244460931,0.0128185889013731
720,-0.0824383425103463,0.0131779865239508
730,-0.083641428580017,0.0679471500772267
740,-0.0672743414617166,0.0296842820079518
750,-0.0667197031937448,0.047848251760339
760,-0.0793474234911107,0.0320420176176206
770,-0.0652131981148298,0.0155592959275308
780,-0.0677093133684187,0.00826050956561526
790,-0.0478430829626213,0.0398366062712517
800,-0.0854115822107443,0.0133159621727141
810,-0.0567880383578868,0.0332804179680162
820,-0.0658324734462012,0.0313844499888382
830,-0.0643178935213352,0.00598103160017876
840,-0.0609478294535983,0.0161985597082762
850,-0.0691466448308547,0.0177971502053961
860,-0.0633113497108266,0.0091531537208078
870,-0.0606621081267057,0.0151831755943602
880,-0.0523930148013617,0.0126993056236072
890,-0.0572012069251621,0.0121638408012394
900,-0.0594726584967638,0.027234687160309
910,-0.0608148206473197,0.0130540950365934
920,-0.0537789667322997,0.028372161506028
930,-0.0511279228861623,0.0504389409916523
940,-0.0486947737208882,0.0249694575983765
950,-0.0423146394342575,0.0181956227049536
960,-0.05231060605581,0.0201553244640309
970,-0.0521722830818404,0.0189011901645553
980,-0.0658810578953485,0.0194329416898326
990,-0.0587240643870832,0.0185091215659938
1000,-0.0627418564727362,0.0271172932932202
