"Hetero_pwr","mu","var"
1.26,-5.43935100197056e-30,3.31053376743427e-58
1.27,9.54969436861575e-15,8.09241805775289e-26
1.28,7.95807864051312e-16,1.77258533104808e-28
1.29,-3.8094740225584e-31,1.67262635670877e-61
1.3,3.45988511085811e-29,3.21923543327322e-57
1.31,2.52100562647684e-14,1.15008295115457e-28
1.32,-1.44223730345671e-30,3.73427688096255e-60
1.33,3.64909206777259e-29,4.7807461463356e-57
1.34,-1.16382739828655e-29,4.76282063989175e-57
1.35,-2.78532752417959e-15,3.51253547855067e-28
1.36,3.14912540488876e-14,8.50921172238257e-28
1.37,-9.28771179959231e-31,6.1071911529478e-61
1.38,6.0708771343343e-14,3.56876890779963e-27
1.39,-1.8668368670152e-30,3.47818108266442e-60
1.4,-2.8916247174493e-13,2.45473214758076e-26
1.41,-1.8588509599822e-30,4.06246188771316e-60
1.42,-2.03481274816428e-30,6.10490551962594e-60
1.43,-2.61479726759717e-14,9.39272279644485e-28
1.44,-7.45841677375278e-29,4.69356536195775e-57
1.45,1.72235559148248e-14,9.93581235730954e-28
1.46,-2.58248704288911e-29,6.07293400885926e-57
1.47,2.8421709430404e-15,2.0748731659502e-27
1.48,-4.53119879718105e-30,5.08223849493189e-57
1.49,-5.00222085975111e-15,8.61180716559993e-28
1.5,-1.33582034322899e-14,2.0692938109833e-27
1.51,-3.26160958154053e-29,9.9303417802211e-58
1.52,-6.75150313379657e-29,3.99276165578251e-57
1.53,4.80895323562436e-14,1.02992757979183e-26
1.54,-1.25671434006593e-30,8.09848326066923e-60
1.55,-4.5304204832064e-14,1.31249393123008e-27
1.56,3.35531681540183e-29,6.07970107657756e-57
1.57,-2.85803095707196e-30,1.36637930062552e-59
1.58,-8.79907878242774e-29,7.3161779975491e-57
1.59,4.57589521829505e-14,6.07324108577049e-26
1.6,-2.00728689517591e-30,3.39468813835625e-60
1.61,-3.48394562423085e-30,1.5486450743004e-59
1.62,-4.49358980422084e-29,4.63267531480617e-57
1.63,5.65876234759344e-14,1.34979305122682e-26
1.64,5.36601874046028e-14,5.34603766261123e-27
1.65,-2.82116257970148e-30,1.21405512001424e-59
1.66,-2.29835848086842e-30,1.08507565525037e-59
1.67,3.50155460182577e-14,3.59195314919251e-27
1.68,7.05995262251236e-14,6.20177163496007e-27
1.69,-2.95585778076202e-15,2.16747299259383e-26
1.7,6.13908923696727e-15,2.83442876189576e-27
1.71,2.7366958683502e-30,3.44325366562549e-59
1.72,3.64983813297371e-29,3.44150193600165e-57
1.73,1.17790775193193e-30,7.27844492098632e-59
1.74,4.04049529131122e-29,3.02330221559123e-57
1.75,-4.42134587321689e-29,1.73156679809241e-56
1.76,1.5268142306013e-13,1.01864596232833e-26
1.77,-3.30997792234277e-29,5.40255798637585e-57
1.78,1.44723344419617e-13,1.60148136014919e-25
1.79,-1.24179927790559e-28,1.12232742825197e-56
1.8,-8.13429323898163e-14,5.98119466645141e-27
1.81,-4.39175690860531e-30,3.38467691314697e-59
1.82,-3.00546390646923e-30,4.7273517863642e-59
1.83,1.73372427525464e-14,2.05053424065982e-27
1.84,-6.98523285785986e-29,4.32066185495895e-57
1.85,-1.10211357707594e-28,6.75644328681801e-57
1.86,4.37282412362049e-30,6.08011698599616e-57
1.87,7.83302311901934e-14,4.91407462128895e-26
1.88,-9.35678877453654e-30,8.94995528587871e-59
1.89,-6.67910171614494e-14,1.97420219589533e-27
1.9,5.04846660238854e-30,3.01456231344091e-59
1.91,-8.33217104389676e-29,6.66931033237891e-57
1.92,2.58069121628068e-14,1.23874100394419e-26
1.93,6.36722620850478e-30,1.33598403153272e-59
1.94,-6.02197420754237e-29,7.89708397892518e-57
1.95,-8.09450284577906e-14,1.57717012139709e-26
1.96,-1.21531229524408e-13,1.84262839158207e-26
1.97,5.40012479177676e-15,2.43219446448231e-27
1.98,-3.64853119999493e-29,3.66039386274149e-57
1.99,5.00222085975111e-15,2.35731984426742e-26
2,-1.25055521493778e-14,2.22940027487683e-25
2.01,1.87242221727502e-13,1.29381405673639e-25
2.02,-1.77351466845721e-14,1.03457607194164e-26
2.03,-1.35514710564166e-13,1.8929519092974e-26
2.04,7.42375050322153e-14,1.41096679714843e-26
2.05,-8.35503602932317e-29,5.75650657359462e-57
2.06,-2.6943780540023e-14,2.06333408955605e-26
2.07,-1.02365648390524e-28,1.23714373424742e-56
2.08,-6.16412533104502e-29,1.33705360779367e-56
2.09,6.67341737425886e-14,6.73314616759861e-27
2.1,-2.51930618691382e-29,1.04017248097642e-56
2.11,-1.06457548298958e-29,8.7880236747168e-59
2.12,5.83573817475266e-29,1.50361781041439e-56
2.13,-4.23249883409042e-30,3.00284499806126e-59
2.14,-1.01501017641876e-28,2.1982711970714e-56
2.15,-4.30559314212794e-29,7.42544978860769e-57
2.16,-5.04314812133089e-13,1.09140644365593e-25
2.17,-1.4047495061864e-29,3.28232972867477e-58
2.18,4.55446082616183e-29,6.6849458017986e-57
2.19,2.45336195803247e-13,6.08979123152708e-26
2.2,6.7438621777648e-31,1.94085962857922e-59
2.21,-1.81898940354586e-13,3.66393814869584e-26
2.22,3.58391212732992e-30,2.34609203174024e-57
2.23,-1.48247636388987e-13,3.03097523832544e-25
2.24,-2.13731254916638e-14,5.28704204835257e-27
2.25,-2.10378760876211e-29,5.52622525587883e-57
2.26,3.69254848919809e-13,3.22541650283577e-25
2.27,-2.37933982909562e-29,8.14982687666848e-58
2.28,2.11457518162206e-13,2.82350939820403e-26
2.29,-1.56912491831198e-29,2.78335443416135e-58
2.3,-1.53010468708869e-30,5.69546246516052e-58
2.31,-1.82637904799776e-13,5.42398400074615e-26
2.32,-1.98951966012828e-14,7.97443459181639e-27
2.33,-4.20978326384984e-29,1.44629932808628e-57
2.34,-2.00931155599296e-30,4.49181956304796e-58
2.35,-5.45074880945584e-30,2.84100117334592e-58
2.36,6.92352841724642e-13,3.43674034562647e-25
2.37,-2.79043251854603e-29,6.34358901838071e-58
2.38,9.09494701772928e-14,2.29668891298194e-25
2.39,-5.31542203228111e-30,5.61023185127248e-59
2.4,9.47011358221061e-14,1.24577920660052e-25
2.41,-1.78373840717063e-29,3.27803077992801e-58
2.42,-4.09727363148704e-13,1.54050796967305e-25
2.43,-1.07970317274617e-28,4.09864948694453e-56
2.44,9.93622961686924e-14,2.34963488925215e-26
2.45,-2.43289832724258e-13,1.85836184914785e-26
2.46,6.04813976678997e-14,4.1334418071387e-25
2.47,-9.93622961686924e-14,6.26197562430025e-26
2.48,-2.18733475776389e-13,1.58463047907387e-25
2.49,-1.00271790870465e-13,2.47636160872286e-26
2.5,-1.70940715021147e-29,3.61947506623571e-58
2.51,5.50244294572622e-14,9.58128105970175e-26
