"Hetero_pwr","median","var"
0.73,-8.1814846410741e-31,5.77038711343705e-61
0.74,-2.49923894599158e-29,5.60417693162271e-58
0.75,-1.39920075525879e-13,1.46980190387652e-26
0.76,-1.63465991703623e-29,6.35561248336344e-58
0.77,2.3383151177196e-30,3.59371586855614e-58
0.78,-5.275400376035e-31,2.72552567913172e-61
0.79,-3.75241441905884e-31,1.83539676559194e-61
0.8,7.52248144976474e-31,1.7457167447394e-57
0.81,1.2990845831383e-31,6.98618921310137e-62
0.82,-1.66731360626459e-31,3.98693805913511e-62
0.83,-2.27373675443232e-15,6.53803369859973e-27
0.84,-1.8360424292041e-14,1.93000400133148e-28
0.85,-6.11066752753686e-16,5.2791816266666e-29
0.86,-1.16449181638397e-31,3.04204360732427e-62
0.87,7.03437308402499e-16,7.13586360480811e-30
0.88,-2.78384088002218e-29,2.22416105560989e-57
0.89,1.75026294674616e-31,1.37086747668608e-62
0.9,1.77635683940025e-17,2.90275544303548e-31
0.91,4.35526013556575e-30,1.42892841569652e-57
0.92,4.1438852349529e-14,2.24841827445356e-26
0.93,2.26979628651772e-29,2.31159291920988e-57
0.94,0,0
0.95,-4.50133982027276e-29,2.2318707294243e-57
0.96,0,0
0.97,-2.51021062645442e-32,3.3236963864754e-64
0.98,0,0
0.99,-2.59698334809867e-29,2.49883776554866e-57
1,-1.86350481715916e-29,2.98087795466103e-57
1.01,-2.49971482633266e-29,2.33123771380526e-57
1.02,-9.57811607804615e-14,2.85267567844402e-26
1.03,1.41909595186007e-13,1.77026876669379e-26
1.04,-7.37805224619036e-33,6.20141064090181e-64
1.05,0,0
1.06,-2.29647412197664e-14,1.43633102998924e-26
1.07,-5.6678500482163e-33,3.54416618429836e-63
1.08,-9.09317500257932e-32,4.94989759805136e-63
1.09,3.20620901569515e-32,6.38420653458523e-63
1.1,1.23331502463575e-29,3.31871232938951e-57
1.11,-2.78121984036078e-30,4.92503241195695e-58
1.12,-5.43230977744198e-29,3.12797801072527e-57
1.13,-2.8421709430404e-17,8.07793566946316e-31
