"Noise_perc","mu","var"
0.1,-0.0215994015928258,0.000859210975642762
0.11,-0.0322588687914555,0.00208637275561829
0.12,-0.0358276860587395,0.000838878274237388
0.13,-0.0286875101541722,0.00166569683039747
0.14,-0.0291511647496442,0.00198826590110359
0.15,-0.0697705332210823,0.0107297270239042
0.16,-0.0749125809132036,0.0118796713172316
0.17,-0.0385433703606522,0.00245295683813786
0.18,-0.105947991230079,0.030433263158406
0.19,-0.0723037218759584,0.00781648520263997
0.2,-0.073392306842027,0.00992948462535807
0.21,-0.0642845362425545,0.0125134095234946
0.22,-0.0283462618685787,0.00174224703220545
0.23,-0.217342003176524,0.0286829914384478
0.24,-0.319535965076229,0.142869836074967
0.25,-0.396335456798055,0.0832243055040544
0.26,-0.428383599648116,0.255681559674545
0.27,-0.127186559925238,0.0201109378603605
0.28,-0.372183663418978,0.0793533008882941
0.29,-0.20821185269804,0.0652354544109896
0.3,-0.107063449801284,0.0165045737635157
0.31,-0.127402954759377,0.0415779040920661
0.32,-0.151859779287698,0.0512756551884991
0.33,-0.308130913737605,0.0475915765830455
0.34,-0.403665189389301,0.247098206840501
0.35,-0.565688163350749,0.54212588253634
0.36,-0.302742335656363,0.293646101885457
0.37,-0.681069617360242,0.594757618721943
0.38,-0.170368071218544,0.0345299795319097
0.39,-0.483100750386308,0.209175318163221
0.4,-0.167121317220489,0.0209150896901293
0.41,-0.289051263352703,0.055982788838216
0.42,-0.380407251226476,0.453885447170876
0.43,-0.42205369785917,0.245955265641635
0.44,-0.562861755118453,0.589948921709735
0.45,-0.857767709227311,1.05159931999235
0.46,-0.590281972532877,0.413897776719346
0.47,-0.374162852461983,0.16928052914641
0.48,-0.547567846313611,0.399906407150718
0.49,-0.47300028607278,0.511008657848461
0.5,-0.367957246669423,0.211784775042256
0.51,-1.49389881649902,5.49037633792284
0.52,-1.37578410647945,9.63725922631322
0.53,-0.428981649862744,0.508431660001691
0.54,-1.10331856886504,4.62788875516041
0.55,-0.402107207091027,0.265998975512478
0.56,-0.289322355612079,0.103158497695325
0.57,-0.473111463237703,0.251081790755718
0.58,-0.787842340267821,1.67728072928666
0.59,-1.41512540313253,2.7765630388379
0.6,-1.17954145335185,3.02588858146819
0.61,-0.341040708697324,0.320314817953626
0.62,-1.09637816780733,1.26284184648605
0.63,-1.16618879332904,3.21218715801409
0.64,-1.91966544519151,9.23492485173922
0.65,-1.43045960074585,2.93047648436859
0.66,-2.91342616714767,6.96718689719378
0.67,-0.292530514682843,0.198816154382704
0.68,-1.17492882918792,2.32663279219408
0.69,-1.45460804774095,3.01567382321224
0.7,-1.18511037354232,1.4834509586702
0.71,-0.856886181320519,1.39031822685009
0.72,-1.65930884814526,2.46772432683506
0.73,-1.26283852081459,2.02389972682026
0.74,-0.976954191935171,1.45871456826933
0.75,-2.21849791571127,6.38188297160879
0.76,-1.27349301120729,1.8461137163157
0.77,-1.2147563220322,1.37963505683165
0.78,-2.75946998264869,12.5375554447111
0.79,-0.929729145427181,1.1519638838262
0.8,-1.98904419307681,5.26933838093699
0.81,-2.84377093623768,22.5628535197277
0.82,-1.43153424810559,1.66729272220709
0.83,-1.14485505275579,1.75293688405599
0.84,-0.660519461723134,0.77751221567993
0.85,-2.25483535617722,6.87920546691001
0.86,-1.15951365771936,1.9290459630726
0.87,-1.89859989895404,7.29766905504044
0.88,-2.20883325489945,7.62592396951897
0.89,-2.49192111496301,27.3136728565598
0.9,-1.7063383848566,2.28139380893705
0.91,-1.3514833199292,1.4870752475365
0.92,-1.44065124395402,1.35016928312541
0.93,-2.80157259970933,25.6155704551086
0.94,-1.75245898799518,7.23473284201294
0.95,-7.46547167354556,74.6396349036543
0.96,-4.37019933911681,35.5034943578802
0.97,-1.63895631207443,2.68601595036352
0.98,-0.657436032723028,0.580069923356715
0.99,-3.76353221776156,36.8009484557762
1,-2.89368462041223,12.8566108685593
1.01,-2.60850234781073,17.9478898973443
1.02,-5.12641498658978,28.2704415201066
1.03,-2.38507386872938,8.81077922997172
1.04,-3.64886208612558,18.2290918771331
1.05,-4.0836385735171,14.4013479857146
1.06,-3.94215636714571,24.9701432238251
1.07,-3.32337441942331,11.521618379975
1.08,-4.25061726714418,48.9123251650368
1.09,-3.59016158852425,7.76896255734565
1.1,-1.12421085713427,2.87253650690836
1.11,-6.18932532292611,65.3152751903628
1.12,-2.14012202876142,3.70373096897748
1.13,-1.06575954719881,2.77473377132073
1.14,-0.498167408249866,0.230036740296165
1.15,-2.09381227529944,12.7935037496353
1.16,-3.36548142373332,13.4490441584113
1.17,-1.25038055398508,2.59110394775983
1.18,-4.42306872771274,19.3220349615192
1.19,-6.99107467136359,40.552880496816
1.2,-3.09297932872702,10.1469495495203
1.21,-3.87293259669951,53.2548232158965
1.22,-4.6298858627188,29.1154798877283
1.23,-5.4203775213828,31.1226294870382
1.24,-5.70508968502969,58.7974690740898
1.25,-3.3678816040933,32.9534194425003
1.26,-3.46329459070298,28.1779776017341
1.27,-5.53040028081936,50.5765117944404
1.28,-7.29556290443904,34.5857927587594
1.29,-7.178009081395,112.02407915435
1.3,-2.5719449505546,23.6494080832513
1.31,-2.46046846690345,17.8567861129446
1.32,-5.07468705413022,45.4360840538937
1.33,-3.55331758435489,19.9656817618189
1.34,-4.99180958713953,70.716772660931
1.35,-2.76961719004891,24.5927311602812
1.36,-5.29022815624454,39.4081532227485
1.37,-3.86351877112321,16.861177898981
1.38,-5.61569925371628,94.8505618995131
1.39,-4.02845470565847,61.1638864632833
1.4,-5.64103549730009,56.6136587727391
1.41,-6.68233154734446,77.526117480291
1.42,-6.01770768263725,127.31159967283
1.43,-4.82812292524792,91.2159476928155
1.44,-7.59621008150556,118.379492873576
1.45,-2.16492000234391,5.78456272247027
1.46,-3.54487891961165,16.2899497473624
1.47,-7.29054687144696,98.4371091670944
1.48,-2.72993921297746,23.2294613277831
1.49,-10.6278591645048,157.300878441935
1.5,-3.38787516518554,65.0847525836587
1.51,-6.57959811062082,57.4705458872802
1.52,-5.69743747118773,88.2419628904132
1.53,-2.25311995139719,15.5458457964511
1.54,-7.07659270179375,198.049159475683
1.55,-4.14794723454111,26.978352456568
1.56,-9.47935798809825,59.7048522991984
1.57,-5.96445871480965,16.2384274699077
1.58,-7.29925526509997,138.115639006928
1.59,-8.09954217592652,61.0877039532564
1.6,-2.82804792528257,38.8894729623915
1.61,-8.48036792370501,152.551916143792
1.62,-7.33894164918493,89.7364825861738
1.63,-7.85337223131866,239.625815435378
1.64,-6.944891640272,62.212028456921
1.65,-4.45125617088776,41.1271958683323
1.66,-3.65184311518141,12.6547699611483
1.67,-4.43829406485957,28.0432291538968
1.68,-7.85588858480946,131.743254505054
1.69,-7.47871958771637,141.250675583388
1.7,-9.1132082985964,209.820298553629
1.71,-6.20394244558716,57.817558432773
1.72,-9.31514887795365,94.7167439830671
1.73,-3.20895195050869,24.6945721128304
1.74,-12.3879013495873,515.797239154912
1.75,-4.27214702896109,69.8600363919977
1.76,-5.63274573061342,41.7229117974025
1.77,-5.35037557965178,35.1190537150738
1.78,-3.99528061990857,81.4729909898627
1.79,-8.01298902175696,41.7843128074544
1.8,-6.5352208282103,144.598941717954
1.81,-6.94019631714099,134.391614649816
1.82,-16.0991069987435,469.744571669114
1.83,-11.9374919842316,321.743977084385
1.84,-6.28926309855737,72.9483955775338
1.85,-9.55374234559536,132.441360493516
1.86,-7.75149934454427,103.65217446635
1.87,-15.8404378328145,218.295893203561
1.88,-10.5626809462616,82.8085008068684
1.89,-12.3198998325208,183.452686151808
1.9,-12.5297769389941,159.584091300742
1.91,-12.2433091822666,281.471329707876
1.92,-6.59126191766054,44.9140097302704
1.93,-6.27757365368255,27.3319906429759
1.94,-11.6806121342469,87.3276874393407
1.95,-9.2834304837425,167.092360201973
1.96,-14.6688163883546,1016.69308300222
1.97,-13.2734298574287,289.626187753446
1.98,-17.4215261938249,888.850173211788
1.99,-12.6526501264369,428.853114993413
2,-6.93498526850033,41.4903135421897
