"Noise_perc","mu","var"
0.1,-0.0212704484469957,0.000865238503135398
0.11,-0.0273011666790417,0.0011082871365758
0.12,-0.0225405472055583,0.000805572267332401
0.13,-0.0425220344478435,0.00586188892690492
0.14,-0.0312531901028198,0.00124877797730779
0.15,-0.0417463664176157,0.00296528467683432
0.16,-0.117466162973133,0.0162837192954381
0.17,-0.12747090963471,0.0148917711856392
0.18,-0.0556785984965939,0.00275576339328015
0.19,-0.051349788165151,0.0110531551393868
0.2,-0.0526819853768415,0.0180235655320774
0.21,-0.121931962126955,0.0171712287467225
0.22,-0.22466093804398,0.112441772231359
0.23,-0.0772955537674937,0.015818946719978
0.24,-0.0790907484336649,0.0109976940854065
0.25,-0.307849915683426,0.259365740982068
0.26,-0.291455158143423,0.0761662588316838
0.27,-0.241324247557533,0.156369382076313
0.28,-0.118208280343783,0.025592304066912
0.29,-0.354466750015002,0.0895602198730022
0.3,-0.113504259707054,0.0139060371764811
0.31,-0.509396482845734,0.330278916387048
0.32,-0.337208334713841,0.0654702695158548
0.33,-0.307413525050096,0.224439328483976
0.34,-0.242610407290352,0.076822993742816
0.35,-0.290909632018302,0.0972195283698941
0.36,-0.231093730767193,0.0679927599203853
0.37,-0.323201465667413,0.0774950689292021
0.38,-0.430859690746214,0.184897245651015
0.39,-0.361957396500435,0.156618543133824
0.4,-0.354156939611701,0.419233249867654
0.41,-0.307661888228668,0.219059878433013
0.42,-0.269719327695955,0.146178834571172
0.43,-0.444484848242166,0.179039225815594
0.44,-0.729761013153995,0.41957818003756
0.45,-0.671422790414118,1.27371155818335
0.46,-0.981155796474613,0.386310061893266
0.47,-0.282173395742463,0.145913610060654
0.48,-1.19216972034296,1.71819469825326
0.49,-0.651226425637985,0.819596818957111
0.5,-0.861753891791993,1.12229040464799
0.51,-1.56184738153627,2.59697226497874
0.52,-0.504071255725422,0.410684034239513
0.53,-1.07435995062577,4.34109070942755
0.54,-0.690664407554257,0.909744091457612
0.55,-0.310813842591919,0.185430035102731
0.56,-0.877264884165027,1.59655350269892
0.57,-0.802629674345267,0.784326629537479
0.58,-0.657301153309163,0.258062948757692
0.59,-1.40843378467688,7.53303003895038
0.6,-1.49211770017855,4.91564581759063
0.61,-1.33372551882394,2.75640368296382
0.62,-1.31514709839499,2.55003617358705
0.63,-0.663959386599497,0.358526087428314
0.64,-1.38470363079382,4.21225817312189
0.65,-2.25503446166065,9.0574071226504
0.66,-0.585894926651495,0.759488877245571
0.67,-0.809838640455021,1.65512647077431
0.68,-0.949781872634227,5.1508719681244
0.69,-0.651156837045828,1.0388879829966
0.7,-1.07543349634008,2.05010070996192
0.71,-1.31174365172209,1.44024195692874
0.72,-2.31834681750103,6.56797333367833
0.73,-1.81101059803841,11.3167839574798
0.74,-1.63488490249185,3.29703953502235
0.75,-1.04412832918006,1.54067682957486
0.76,-3.5291373384416,40.2173732289512
0.77,-1.20401938749651,1.80544649748849
0.78,-2.03397489686988,9.33041175475673
0.79,-1.66111706308608,2.9828443341823
0.8,-1.22725130837057,1.83023008996578
0.81,-1.73864470453411,5.7973597553655
0.82,-2.94997337230519,11.4200436637441
0.83,-1.31081201240696,1.41329213353068
0.84,-2.00997250039668,12.2821343694922
0.85,-2.15006839686994,11.6309445538118
0.86,-3.02057408493499,5.7909811771628
0.87,-0.886593922997781,1.62750577724317
0.88,-1.70411240339834,3.94910866129847
0.89,-1.82185230216344,3.95270938304881
0.9,-1.59500449937431,3.19088147461141
0.91,-1.36802353489376,2.11237614222431
0.92,-2.01363604886702,2.91556273059359
0.93,-0.655562815180657,1.46525753025491
0.94,-1.93759614309893,17.1514293454792
0.95,-4.42607783956323,38.0238257620086
0.96,-4.63247179046383,15.8154774326149
0.97,-2.5296838068829,6.00565337456159
0.98,-1.80125762802671,5.95621421690619
0.99,-2.36214369718631,16.7930108464709
1,-4.23300970504627,26.4791738701965
1.01,-1.79510109424283,2.92455314396536
1.02,-2.26500192770516,13.6868076144284
1.03,-3.1256640233505,9.38326075193865
1.04,-0.424294568717431,0.452088148187866
1.05,-3.26423227314183,30.436542468009
1.06,-3.60902141041173,8.68200397060185
1.07,-4.04137317027801,35.0635977440328
1.08,-1.59333213880917,4.39439882500939
1.09,-4.44050140142031,26.1349415851928
1.1,-4.07052822644876,35.8024296999599
1.11,-2.7259506915256,37.570486564248
1.12,-3.33157601404787,27.6858057120352
1.13,-5.63129005164879,22.2247299790381
1.14,-1.41334358079402,2.99052380513774
1.15,-7.42517951906929,49.6481930412406
1.16,-2.85306041156802,7.89646168925182
1.17,-2.47762495836918,8.5354302236143
1.18,-3.3345828729316,24.7813368378693
1.19,-8.66262434657235,60.7096734797235
1.2,-3.95805296749778,24.7632878802852
1.21,-2.9310977735785,14.6031910263807
1.22,-4.2306801441124,66.0020738590111
1.23,-4.8304744343037,80.7616695252709
1.24,-3.21065481757365,29.2840199829929
1.25,-3.34974402364707,16.2147913362796
