"Predictor_correlation","mu","var"
0,-0.271646276555655,0.123013460082032
0.01,-0.629832277205461,0.75041579341917
0.02,-0.425162874822164,0.326714419704672
0.03,-0.269381526719442,0.110488729342373
0.04,-0.215508581694361,0.105193636208674
0.05,-0.0555321575777235,0.0055030102241571
0.06,-0.300592433651692,0.172134315275512
0.07,-0.30331623329964,0.161518919035932
0.08,-0.508029205236564,0.415522845142736
0.09,-0.184304143019813,0.0505438766476975
0.1,-0.348791926261593,0.273331982497579
0.11,-0.205877131535218,0.0778168649525099
0.12,-0.197089244692861,0.0727047503917105
0.13,-0.954372079047467,1.71931516529047
0.14,-0.0990839262918281,0.0143151205580544
0.15,-0.239917934463347,0.111218088811073
0.16,-0.112966438112724,0.020654965542478
0.17,-0.551827606114625,0.504217481097784
0.18,-1.1425947361835,2.31440006587556
0.19,-0.386741029179076,0.264475487284153
0.2,-0.0750892091004834,0.00911346737548757
0.21,-0.519399533913646,0.425050598983937
0.22,-0.146654551338231,0.0251790784260503
0.23,-0.164567434238406,0.0495216571614559
0.24,-0.86397060504112,1.42652573924457
0.25,-0.0930678985647242,0.0160164387133974
0.26,-0.341323839633154,0.212695575264643
0.27,-0.707296919852688,0.909538467621522
0.28,-0.149712693882249,0.0406078877661007
0.29,-0.710626202181837,0.883019848091205
0.3,-0.133894960926335,0.0343135596654629
0.31,-0.303779174713633,0.17302107311735
0.32,-0.629767972191279,0.726952299539676
0.33,-0.171635468891538,0.0593644825101463
0.34,-0.410659299891721,0.330338078587761
0.35,-0.413612067473883,0.279919764440826
0.36,-0.56747204523033,0.534687125893438
0.37,-0.42452260264828,0.333985843009429
0.38,-0.806515009082581,1.17653357170837
0.39,-0.069146855898236,0.00919141187513232
0.4,-1.74018472184315,5.74975079495725
0.41,-0.983789642243144,1.56188322315876
0.42,-0.283703701479118,0.125152352221975
0.43,-0.0293641628833556,0.00154240929504321
0.44,-0.221808130663196,0.0865452687763516
0.45,-0.482970896872001,0.39853212286561
0.46,-0.910617534701844,1.660725260083
0.47,-0.163905911033267,0.0508087078922664
0.48,-0.195959600775491,0.0704227209352303
0.49,-1.31352393996024,3.13547580154636
0.5,-0.218164365434052,0.0867462774426529
0.51,-0.303623576896013,0.173499734526135
0.52,-1.03742547219738,1.9899089184423
0.53,-0.445409385437637,0.355777116214207
0.54,-0.556815814879269,0.622892664149677
0.55,-0.691074190156763,0.84562548476013
0.56,-1.78533164068103,5.94963629635547
0.57,-0.954383525781811,2.20827917204484
0.58,-0.782882714296124,1.14962363155919
0.59,-0.29780427445592,0.178755935835347
0.6,-1.19810450309902,2.77011682030461
0.61,-0.424646612416006,0.34585779050162
0.62,-0.417280390602768,0.318589801903637
0.63,-0.0426178498773386,0.00228812484469608
0.64,-0.70772260673174,1.24470261193835
0.65,-0.353638801853793,0.211508047279922
0.66,-1.16046806808088,2.77040416399613
0.67,-2.41589623019828,10.1372583633279
0.68,-0.999701948215431,1.88238463805381
0.69,-0.111939073117871,0.0237097501494874
0.7,-0.200771982063907,0.0771172870968459
0.71,-0.617989774390613,0.70416014232969
0.72,-1.67312559809738,5.8845572377444
0.73,-1.32424107104615,3.49621780921074
0.74,-0.880324805585854,1.40109414479168
0.75,-1.61654489956272,5.08320942271788
0.76,-0.431795469562251,0.357804489338868
0.77,-0.487258843305025,0.434900614956002
0.78,-0.108528958093842,0.0199536903889708
0.79,-0.025395957444947,0.00131860975589413
0.8,-3.96387013448015,28.384053291079
0.81,-1.0284154287061,1.85341813525911
0.82,-0.757492033986031,1.10483358238242
0.83,-0.0906720209418756,0.0134748156144335
0.84,-1.5221564193995,4.19595322469447
0.85,-0.878936139493115,1.30379280231758
0.86,-0.336616509924318,0.201373521859569
0.87,-0.870382048176926,1.2245024802104
0.88,-0.207281286337258,0.0562325929149876
0.89,-0.59695899406922,0.656919873010228
0.9,-0.0882524132739716,0.0154534176860525
0.91,-6.72810738042007,87.6356507658425
0.92,-0.357226286151206,0.228615599139739
0.93,-17.7654036906661,528.984016129714
0.94,-8.33303024193264,122.507100932125
0.95,-14.7394874098871,436.757696999866
0.96,-22.1333251193806,825.700454502725
0.97,-22.6596055036019,957.976186178339
0.98,-0.354986186979729,0.243803055346974
0.99,-34.1529320485656,2089.3675313753
1,-2555.65445126052,374516027.252804
