"Predictor_correlation","mu","var"
0,-0.513886712802787,0.51205429454288
0.01,-0.320376367392091,0.193526946643235
0.02,-0.216343009631683,0.0872198769746018
0.03,-0.241645877596874,0.131429016121378
0.04,-0.796604361443128,1.07571571379835
0.05,-0.292560994369725,0.164917684001476
0.06,-0.210202871051031,0.0755200048718343
0.07,-0.466748632069374,0.516430729284314
0.08,-0.245343372434561,0.120795372394122
0.09,-0.655526999726694,0.742189890912348
0.1,-0.221215165179593,0.0933593658438402
0.11,-0.548130264026011,0.723249100884014
0.12,-0.152266281407379,0.0389454361412689
0.13,-0.283613448109524,0.18785003386048
0.14,-0.239367545889206,0.129585327703953
0.15,-0.106076786093614,0.0191337138643351
0.16,-0.116893953631199,0.023392704922909
0.17,-0.514910553199811,0.487824981720545
0.18,-0.23616083431355,0.112027267297216
0.19,-0.430787707418014,0.355859809912693
0.2,-0.467443746595044,0.431515815635935
0.21,-0.178776270174628,0.0618591015592843
0.22,-0.429962631760217,0.346191986321017
0.23,-0.849270647843219,1.18537899237458
0.24,-0.548808570108304,0.560260792095736
0.25,-0.329477450207703,0.241378307510887
0.26,-0.214331911253366,0.079409838354762
0.27,-0.195678011973757,0.0801340973170033
0.28,-1.20875167873174,2.66578371674917
0.29,-0.267858928578342,0.121749553201081
0.3,-0.344245264769611,0.225234644707928
0.31,-1.10344647785595,2.25442872406697
0.32,-0.871883446745834,1.55594980621168
0.33,-0.0927484565079536,0.0181804254721057
0.34,-0.0979411356151067,0.0177004483756886
0.35,-1.30883135951199,3.80504399424974
0.36,-0.0944386650719786,0.017453751468391
0.37,-0.0974788837731713,0.0160970071532245
0.38,-0.190044189235745,0.0668653238919824
0.39,-0.991667937250022,1.64100772355849
0.4,-0.58884088444459,0.645791921308252
0.41,-0.589897911109685,0.622753997436928
0.42,-0.705796535723757,0.901784566895945
0.43,-0.240081170580246,0.0999463991557164
0.44,-0.840238789931547,1.45136843425117
0.45,-0.421561030474252,0.360865819001943
0.46,-0.662482419608958,0.777345482164263
0.47,-0.126077465651303,0.0220651538919218
0.48,-0.511176673286946,0.52246827807093
0.49,-0.391457864749973,0.343223829315623
0.5,-0.265402064264787,0.110551267998474
0.51,-0.301330079354788,0.156341687456071
0.52,-0.274524372233884,0.137659384362961
0.53,-0.917545198795315,1.50598858155161
0.54,-0.277196258726874,0.148950122734159
0.55,-0.618092747520955,0.803956140942259
0.56,-0.247406901674534,0.0976312745367753
0.57,-0.835146117103633,1.34794260341445
0.58,-0.192198171250952,0.0620880603527
0.59,-0.131777302784122,0.0304399331872994
0.6,-0.375985926758412,0.256578383596374
0.61,-0.223605875176957,0.0824677782777034
0.62,-0.357294301063339,0.305637309938068
0.63,-1.41177113860757,4.81896138919799
0.64,-0.771136641977973,1.08110636454489
0.65,-2.3004624972874,9.00063752130254
0.66,-0.506628454122596,0.462528511872453
0.67,-1.90437408526598,7.98781262268189
0.68,-1.33049297550737,3.54724307179124
0.69,-0.311116824417641,0.173793289842325
0.7,-0.415577773563034,0.333372929444541
0.71,-0.205936907117205,0.0736711270421653
0.72,-1.02359034103698,1.92959492303746
0.73,-0.520972773224632,0.470956945639576
0.74,-0.571198959130886,0.549241988307208
0.75,-0.67481891512593,0.88462129023724
0.76,-0.28567290290749,0.154241045190894
0.77,-0.0897337060965684,0.0133442403152617
0.78,-1.89332733892903,6.52435417126096
0.79,-0.233443732894824,0.0853515365597767
0.8,-0.386778097516538,0.267979129950079
0.81,-1.88294469916309,6.39750256507299
0.82,-1.85846051079185,5.94201484580656
0.83,-15.8381676327234,445.831704699745
0.84,-1.17312685091181,2.63976047209118
0.85,-0.21625220740352,0.0832154727221766
0.86,-0.555268654032299,0.529694306947078
0.87,-1.66609141631383,5.07163271866395
0.88,-3.10312362657778,17.2511471155771
0.89,-2.33166279125985,7.35567049525318
0.9,-0.667058263917702,0.704620256239666
0.91,-2.08675900232229,7.98450223611296
0.92,-0.158030304211821,0.0390734493290395
0.93,-0.291144168453188,0.140780873287795
0.94,-0.367449894260672,0.212478428241079
0.95,-1.44854673088687,3.71055609013429
0.96,-10.1138305613133,200.608850810671
0.97,-0.207776583718756,0.0566758562240514
0.98,-1.01145999537042,1.82432129391459
0.99,-6.86242800855018,74.9763516110784
1,-83111.103121968,167166073660.591
